condition,prediction,accuracy,numerosity,fitness,selected_feature_indices,original_feature_indices,correct_count,match_count
"[[-1.6811786472797394, 1.2605786016583442], [-1.6797260224819184, 1.5988639277219772], [-1.82147895693779, 2.473960210680962], [-1.8635925769805908, 1.4019608950614928], [-1.6621647700667381, 1.0338782295584679]]",Normal,0.9921875,1,0.924565136596599,"[31, 15, 45, 37, 27]","[817, 474, 1147, 963, 733]",254,256
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.8440534591674804, 2.0950475454330446], [-1.8555157244205476, 5.315393167812049], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.758002656698227, 2.4313226082921027]]",Normal,0.9921052631578947,1,0.9237991023083405,"[15, 32, 23, 11, 31, 37, 47, 19]","[474, 825, 659, 274, 817, 963, 1216, 565]",377,380
"[[-1.6500760436058046, 0.7964785373210908], [-1.2518819496035576, 5.9194654151797295], [-1.6811786472797394, 1.2605786016583442], [-1.6797260224819184, 1.5988639277219772], [-1.8635925769805908, 1.4019608950614928], [-1.8260549545288087, 0.8700260376930238]]",Normal,0.9917763157894737,1,0.9207406740164555,"[30, 47, 31, 15, 37, 33]","[766, 1216, 817, 474, 963, 830]",1206,1216
"[[-1.8555157244205476, 2.276870270371437], [-1.6500760436058046, 0.7964785373210908], [-1.2518819496035576, 5.9194654151797295], [-1.6811786472797394, 1.2605786016583442], [-1.6797260224819184, 1.5988639277219772], [-1.7676193594932557, 2.4430514389276503], [-1.6758379220962525, 3.414409790635109]]",Normal,0.9916608756080612,1,0.9196695170194095,"[11, 30, 47, 31, 15, 2, 21]","[274, 766, 1216, 817, 474, 118, 612]",1427,1439
"[[-1.6811786472797394, 1.2605786016583442], [-1.6931957185268403, 2.089929431974888], [-1.782410603761673, 2.8492674830555917], [-1.8555157244205476, 2.276870270371437], [-1.8440534591674804, 2.0950475454330446], [-1.6672115206718445, 0.45203138600608517], [-1.8635925769805908, 1.4019608950614928], [-1.8122935175895691, 3.9998218756914135]]",Normal,0.9915492957746479,1,0.9186352458123892,"[31, 22, 40, 11, 23, 32, 37, 38]","[817, 613, 1049, 274, 659, 825, 963, 980]",352,355
"[[-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.71348152756691, 2.4739576002955435], [-1.6621647700667381, 1.0338782295584679], [-1.7288547396659852, 3.00705656349659]]",Normal,0.9915254237288136,1,0.918414103736242,"[31, 37, 35, 27, 43]","[817, 963, 847, 733, 1094]",117,118
"[[-1.6672115206718445, 1.1384358620643615], [-1.8440534591674804, 2.0950475454330446], [-1.8635925769805908, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.6931957185268403, 1.6971513777971268], [-1.603154443204403, 0.857474111020565], [-1.7161404550075532, 1.1482580628991126]]",Normal,0.9913232104121475,1,0.916542793005341,"[32, 23, 37, 31, 22, 35, 13]","[825, 659, 963, 817, 613, 847, 408]",457,461
"[[-1.6672115206718445, 1.7924783825874329], [-1.6811786472797394, 1.2605786016583442], [-1.8555157244205476, 2.276870270371437], [-1.6500760436058046, 0.7964785373210908], [-1.6227943122386934, 1.6008550608158112], [-1.71994446516037, 1.5150731366872785]]",Normal,0.9906621392190152,1,0.9104490685687229,"[32, 31, 11, 30, 49, 44]","[825, 817, 274, 766, 1263, 1123]",1167,1178
"[[-1.6797260224819184, 1.5988639277219772], [-1.6227943122386934, 1.6008550608158112], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.8555157244205476, 2.276870270371437], [-1.7437106370925903, 3.9197131872177122]]",Normal,0.9906103286384976,1,0.9099730253950702,"[15, 49, 31, 37, 11, 14]","[474, 1263, 817, 963, 274, 446]",211,213
"[[-1.6672115206718445, 0.45203138600608517], [-1.8555157244205476, 2.276870270371437], [-1.71348152756691, 2.3135336308469694], [-1.6227943122386934, 3.8714421083916237], [-1.6931957185268403, 2.089929431974888], [-1.7161404550075532, 3.1877595567703247], [-1.6781425714492797, 1.8539437878131868]]",Normal,0.9902912621359223,1,0.9070463302111617,"[32, 11, 35, 49, 22, 13, 18]","[825, 274, 847, 1263, 613, 408, 513]",204,206
"[[-1.6797260224819184, 1.5988639277219772], [-1.8555157244205476, 2.276870270371437], [-1.8635925769805908, 1.4019608950614928], [-1.6931957185268403, 2.089929431974888], [-1.71348152756691, 2.469725905060768], [-2.09450379550457, 1.0522777193784714]]",Normal,0.9901960784313726,1,0.9061748825855624,"[15, 11, 37, 22, 35, 44]","[474, 274, 963, 613, 847, 1123]",1111,1122
"[[-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.2518819496035576, 5.9194654151797295], [-1.6931957185268403, 2.089929431974888], [-1.7676193594932557, 2.4430514389276503], [-1.6758379220962525, 3.414409790635109], [-1.776373201608658, 1.3121550747752189]]",Normal,0.9899159663865547,1,0.9036147066143632,"[32, 49, 23, 47, 22, 2, 21, 0]","[825, 1263, 659, 1216, 613, 118, 612, 27]",1178,1190
"[[-1.8635925769805908, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.680296015739441, 1.0305288076400758], [-1.6797260224819184, 1.5988639277219772], [-1.71348152756691, 2.4739576002955435], [-1.82147895693779, 2.473960210680962]]",Normal,0.9895287958115183,1,0.9000867513898895,"[37, 31, 28, 15, 35, 45]","[963, 817, 743, 474, 847, 1147]",189,191
"[[-1.8555157244205476, 2.276870270371437], [-1.6500760436058046, 0.7964785373210908], [-1.2518819496035576, 5.9194654151797295], [-1.8635925769805908, 1.4019608950614928], [-1.6811786472797394, 1.2605786016583442], [-1.8440534591674804, 2.0950475454330446], [-1.680296015739441, 1.0305288076400758]]",Normal,0.9894179894179894,1,0.8990793514533291,"[11, 30, 47, 37, 31, 23, 28]","[274, 766, 1216, 963, 817, 659, 743]",187,189
